sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,mae_linear,r2_linear,offset_dexp,exp_0,knee,exp_1,mae_dexp,r2_dexp
2006,9870,130,75.92307692307692,0.004700000000000001,0.0005,0.004200000000000001,289015.28232991,2.075667424098886,0.8196784861870166,0.021017671074521575,0.9042934944404978,2.053259723242366,-86.25092490018841,15.863410013489506,87.15952109488293,0.1321927787844318,0.834333800495353
2007,9604,396,24.252525252525253,0.0049,0.0005,0.004399999999999999,287176.22230214323,2.0644150445443192,0.8111804555765852,0.013317878680304162,0.9492900122050603,4.799932830455453,0.1743701968421378,4489.784094226188,1.915142109829467,0.019121629227598153,0.996337993972497
2008,270,9730,0.02774922918807811,0.0216,0.0016,0.02,278674.1760708514,4.510530355092245,2.0121089687832643,0.017551129525264365,0.9870495643673055,5.249425568863466,0.24423566613308562,1030.6084593777146,2.1304381396764285,0.02614324330699281,0.9980698814181
2009,6644,3356,1.9797377830750893,0.0111,0.0007,0.010400000000000001,267127.78741899086,3.228633438829955,1.3926627514265488,0.013529009638713493,0.9835539522905128,3.0605070092336373,-98.46893772767598,29.157908442253568,99.83636041478725,0.09640732927993713,0.9462113924236377
2010,8799,1201,7.32639467110741,0.006,0.0006,0.0054,280744.6584479929,2.4223299661761546,0.9836626203522353,0.01606479216379804,0.9611015507762439,4.683701580587979,0.3079704320766226,1531.0723188521831,1.7388308774935668,0.021665218297648458,0.9963995228562412
2011,2663,7337,0.362954886193267,0.0193,0.0011,0.0182,264273.3030478438,4.004152983506607,1.76300166289658,0.01365735885881949,0.9905055127162368,4.77232287444627,0.12700210534801923,535.0243498346111,2.0215987375979547,0.02723166137449977,0.9976712204991292
2012,9724,276,35.231884057971016,0.0048000000000000004,0.0005,0.0043,288167.1341832828,2.0093533892411224,0.7773440377022376,0.015291419483504109,0.9347944788439693,4.808768079002847,0.12938002056058648,5522.895923730083,1.9663027273880034,0.018804630062755196,0.9966598774799774
2013,146,9854,0.014816318246397403,0.0202,0.0015,0.018699999999999998,276240.1883429731,4.358100174041483,1.9318469632775552,0.016207780403219903,0.9870266422893913,5.253392568805384,0.2920684980192474,953.0649520052742,2.0849145925269155,0.026293147019982498,0.9980221004347969
2014,1039,8961,0.1159468809284678,0.0201,0.0014,0.0187,269562.6417783092,4.2691464980271405,1.8875321452109926,0.0171932065058602,0.9861056144197493,5.118320132868827,0.24559679129230105,845.2116798076138,2.066825985284551,0.026080560591260248,0.9979367974502468
2015,2637,7363,0.3581420616596496,0.0184,0.0011,0.0173,259977.39318547718,4.112597139415188,1.8269375058513,0.017667448509720476,0.9837877724439066,4.757778977114091,0.2018535653991132,437.8958242341974,1.9415637015308584,0.024130640707051277,0.997966350596717
2016,1463,8537,0.1713716762328687,0.0202,0.0013,0.0189,266061.54206591536,4.174478251573298,1.8439116669653612,0.01399563451989139,0.9898061906552258,4.965603817949548,0.18403240319967035,668.5603568890359,2.0585351460843717,0.024547079125035887,0.9981840982470932
2017,8453,1547,5.464124111182935,0.0064,0.0006,0.0058000000000000005,279353.039298013,2.554962309050827,1.0540589702848866,0.01954553516461759,0.9505491039450195,2.6254476718730895,-120.17354993037173,20.044375695020896,121.3407921861541,0.10416728248046912,0.9234624271050694
2018,2340,7660,0.30548302872062666,0.0197,0.0012,0.0185,263529.95999273914,3.852870123069933,1.6740732119095183,0.014489828214880571,0.9873989541110831,4.8629163081422035,0.18674561114067362,573.5232851485031,2.004905465311794,0.026810039028051392,0.9975909729212866
