sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,offset_dexp,exp_0,knee,exp_1
611,3763,6237,0.60333493666827,0.0169,0.001,0.015899999999999997,262043.4138992559,3.680405319926413,1.590600417146417,4.699744061365439,0.20966904668655223,466.2392357703291,1.8981994382800196
612,7910,2090,3.784688995215311,0.0077,0.0006,0.0071,274987.13808770594,2.7072907199736926,1.1245540437136579,4.456806713139589,0.3267372325216198,564.7890481609676,1.6391437880725763
613,2536,7464,0.3397642015005359,0.0195,0.0012,0.0183,264307.65251305536,4.051971583294062,1.7804330538004645,4.915143676253825,0.24838735991557281,596.7293707420745,1.9632786350113127
614,577,9423,0.06123315292369733,0.0204,0.0015,0.0189,272584.0288958947,4.303694368128501,1.9026009198819682,5.21103957905576,0.2673343235057437,979.4227948779097,2.0885983871525626
615,8821,1179,7.481764206955047,0.006,0.0005,0.0055,280049.0172151574,2.480043276649026,1.0236194390891509,4.505135565707461,0.27239208568506285,1086.5431747467812,1.7034869289340544
616,9757,243,40.1522633744856,0.0048000000000000004,0.0005,0.0043,288692.6386273031,2.0216621951819205,0.7853575649256542,2.1169276707578932,-93.17242263548192,15.319021240870745,94.10899943573287
617,791,9209,0.08589423390161799,0.0206,0.0014,0.019200000000000002,272601.42975569103,4.048122230889931,1.7633039751412438,5.117460500355944,0.23050126442851737,837.9188984386144,2.080967282769082
618,474,9526,0.049758555532227584,0.0203,0.0015,0.018799999999999997,276191.8495202916,4.331594893108022,1.9151981902295945,5.220292715583669,0.2774071861689153,932.131626086169,2.081947160911559
619,578,9422,0.06134578645722776,0.0212,0.0015,0.0197,272741.88914588065,4.25237028415008,1.8735167473963472,5.133014946409749,0.23636060209325846,799.3249925163666,2.0855178932008553
620,149,9851,0.015125367982945894,0.0207,0.0015,0.0192,277227.5721742367,4.307104208624073,1.8983346353085744,5.23206651940731,0.23015395374252381,1061.8976893231631,2.13694733201383
621,9638,362,26.624309392265193,0.0049,0.0005,0.004399999999999999,288000.87420013564,1.9684227612460328,0.7553524555132791,4.785094703119676,0.15592204018215416,4636.460898386207,1.9276816267475039
622,1038,8962,0.11582236108011605,0.0192,0.0014,0.0178,270171.09018379863,4.24920297082309,1.8753065127530741,5.166941295395545,0.2933785264132908,880.1164043134207,2.0386970089013174
623,2950,7050,0.41843971631205673,0.0179,0.0011,0.0168,258278.62306804306,3.8678022695203413,1.6906604629522022,3.5960904293558023,-70.54347934936779,49.62691731192183,72.16533320737456
624,9201,799,11.515644555694617,0.0054,0.0005,0.0049,283495.0119000604,2.117230645452358,0.8264435719769322,2.381235610190155,-116.18826277825552,17.81269625510333,117.24477401894669
625,4477,5523,0.810610175629187,0.0153,0.0009,0.0144,257795.2997404529,3.856448155019713,1.7104331271837903,4.513938059950683,0.17327707763556746,362.5497351551461,1.8512100657291266
626,9542,458,20.83406113537118,0.0051,0.0005,0.0046,285298.03885193996,2.011959784235457,0.7778608595168787,4.827840044493718,0.1943364731934158,4325.87974537073,1.9090474852436219
627,9894,106,93.33962264150944,0.004700000000000001,0.0005,0.004200000000000001,290408.27184683573,2.0384242138265765,0.7937667850134329,4.816616239328647,0.04353058346115287,8162.950275549805,2.0556501599623997
628,8605,1395,6.168458781362007,0.0065,0.0006,0.0059,278622.1744000063,2.6833436669764428,1.1254339359125634,2.588682839227932,-81.9952601544774,19.126081831453458,83.14650786535766
629,2001,7999,0.2501562695336917,0.0187,0.0012,0.0175,266320.0660360997,4.208761389427664,1.8664474951872518,4.927888861606668,0.20849070486999952,631.2942351043339,2.0119816064316676
630,9312,688,13.534883720930232,0.005300000000000001,0.0005,0.0048000000000000004,286775.910716787,2.2877389192070687,0.9227112268314439,4.840997082731694,0.2586289417861613,3234.8029854772635,1.8485709054471335
631,1646,8354,0.1970313622216902,0.0192,0.0013,0.0179,268132.9506002972,4.062612609576343,1.7783658018350028,4.979539372346711,0.20673584447068588,684.9175946397495,2.0387831322088705
632,7790,2210,3.524886877828054,0.0077,0.0006,0.0071,274388.16039180255,2.809957899648465,1.1791447228894205,4.532334764007614,0.339560340675007,638.3650763355317,1.6579827886209881
633,9879,121,81.64462809917356,0.0046,0.0005,0.0040999999999999995,290275.62800778623,1.8663426295163599,0.7045685889935469,4.988699754186246,0.07542979987455442,11309.830860664651,2.0954120044633844
634,4448,5552,0.8011527377521613,0.0166,0.0009,0.0157,259368.2412129968,3.524401134860118,1.5183009551432027,4.533391332295383,0.19763084399962538,343.8010678473565,1.8345633624082431
635,669,9331,0.07169649555245955,0.0202,0.0014,0.0188,272288.0056318418,4.128473399954941,1.8071362596277512,5.167525141326466,0.24488480111814934,933.0757216496478,2.0908766214958656
636,9733,267,36.453183520599254,0.0048000000000000004,0.0005,0.0043,289505.1449189197,2.201700912376044,0.8827879780617569,4.9056253840361705,0.1395712262997494,6939.280503844628,1.9935658401769414
637,3903,6097,0.6401508938822371,0.0172,0.001,0.0162,259970.651372856,3.633385612307568,1.5707947951037249,3.4892711391100324,-122.14148649831678,38.281201824308795,123.70942192408971
638,6050,3950,1.5316455696202531,0.0125,0.0007,0.011800000000000001,263827.36176919297,3.222106214129325,1.3767027156942762,3.170770844537428,-79.39580163374707,29.198803913080514,80.81480602669538
639,4745,5255,0.9029495718363464,0.0151,0.0008,0.0143,259722.15450081308,3.5330891708445584,1.5317412707783948,4.53108344282349,0.23315284006750822,348.75709498708204,1.7955363087350196
640,3018,6982,0.43225436837582354,0.0186,0.0011,0.017499999999999998,262355.75849532255,3.735271898253158,1.6153293203532402,3.594371932709058,-89.09163177616176,50.07540082426734,90.70861723889986
641,9829,171,57.47953216374269,0.004700000000000001,0.0005,0.004200000000000001,289925.9206853624,1.9425820311615314,0.7510494587096604,4.745667790796848,0.09352768388205099,5727.2369061953705,1.9727811148913925
642,9334,666,14.015015015015015,0.005300000000000001,0.0005,0.0048000000000000004,284062.5354291859,2.220070304236106,0.8862839538536056,4.738929087679204,0.2392105796710259,2679.684911441083,1.8274872038343455
643,99,9901,0.009998990001009999,0.0216,0.0016,0.02,278572.716311224,4.441549250066488,1.973365329150566,5.201398525700688,0.21109347080574142,958.191977677545,2.1439892937274543
644,4714,5286,0.8917896329928112,0.0163,0.0009,0.015399999999999999,259176.37260057518,3.6840486327009403,1.6129438827748008,4.494720041330195,0.1795411863052583,333.487080070299,1.8357474852825741
645,6494,3506,1.852253280091272,0.0111,0.0007,0.010400000000000001,267234.9982931108,3.2708168473285215,1.411210991929429,4.383619663482688,0.25616172338081866,345.5281608209123,1.6938710858552266
646,2482,7518,0.33014099494546423,0.0187,0.0012,0.0175,264560.1835063302,3.785954397327984,1.6353160906199076,4.929049883394124,0.2763296926290839,609.8047924339932,1.939711347999765
647,9825,175,56.142857142857146,0.0046,0.0005,0.0040999999999999995,290179.6393666804,2.0050882148824876,0.7817906294703145,2.0659266418426143,-88.30211545630034,15.43439430464113,89.21556251590525
